region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
PE-Araripina,2020-06-27,nowcast,1.1,0.8,1.4,1,1.3,0.22
PE-Araripina,2020-06-28,nowcast,1.1,0.9,1.5,1,1.2,0.25
PE-Araripina,2020-06-29,nowcast,1.1,0.8,1.6,1,1.2,0.22
PE-Araripina,2020-06-30,nowcast,1.1,0.7,1.4,1,1.3,0.23
PE-Araripina,2020-07-01,nowcast,1.2,0.8,1.5,1,1.3,0.22
PE-Araripina,2020-07-02,nowcast,1.2,0.9,1.5,1,1.3,0.2
PE-Araripina,2020-07-03,nowcast,1.1,0.7,1.4,1,1.2,0.22
PE-Araripina,2020-07-04,nowcast,1.1,0.8,1.4,1,1.2,0.2
PE-Araripina,2020-07-05,nowcast,1.1,0.8,1.5,1,1.2,0.26
PE-Araripina,2020-07-06,nowcast,1.1,0.8,1.4,1,1.2,0.24
PE-Araripina,2020-07-07,nowcast,1.1,0.8,1.4,1,1.2,0.24
PE-Araripina,2020-07-08,nowcast,1.1,0.8,1.3,1,1.2,0.25
PE-Araripina,2020-07-09,nowcast,1.1,0.8,1.4,1,1.2,0.25
PE-Araripina,2020-07-10,nowcast,1.1,0.8,1.4,1,1.2,0.24
PE-Araripina,2020-07-11,nowcast,1.1,0.8,1.4,1,1.2,0.27
PE-Araripina,2020-07-12,nowcast,1.1,0.8,1.4,1,1.3,0.24
PE-Araripina,2020-07-13,nowcast,1.1,0.8,1.3,1,1.2,0.29
PE-Araripina,2020-07-14,nowcast,1.1,0.8,1.4,1,1.2,0.31
PE-Araripina,2020-07-15,nowcast,1.1,0.8,1.4,1,1.2,0.31
PE-Araripina,2020-07-16,nowcast,1.1,0.8,1.4,1,1.2,0.26
PE-Araripina,2020-07-17,nowcast,1.1,0.8,1.3,1,1.1,0.32
PE-Araripina,2020-07-18,nowcast,1.1,0.8,1.3,0.9,1.1,0.37
PE-Araripina,2020-07-19,nowcast,1.1,0.8,1.3,1,1.2,0.33
PE-Araripina,2020-07-20,nowcast,1,0.7,1.3,0.9,1.1,0.37
PE-Araripina,2020-07-21,nowcast,1.1,0.8,1.3,1,1.2,0.33
PE-Araripina,2020-07-22,nowcast,1.1,0.7,1.3,1,1.2,0.34
PE-Araripina,2020-07-23,nowcast,1.1,0.8,1.3,0.9,1.1,0.34
PE-Araripina,2020-07-24,nowcast,1.1,0.8,1.3,1,1.2,0.37
PE-Araripina,2020-07-25,nowcast,1.1,0.8,1.3,1,1.2,0.32
PE-Araripina,2020-07-26,nowcast,1.1,0.8,1.3,1,1.2,0.3
PE-Araripina,2020-07-27,nowcast,1,0.7,1.3,0.9,1.1,0.38
PE-Araripina,2020-07-28,nowcast,1,0.8,1.4,0.9,1.1,0.35
PE-Araripina,2020-07-29,nowcast,1,0.8,1.3,0.9,1.1,0.38
PE-Araripina,2020-07-30,nowcast,1.1,0.8,1.3,1,1.1,0.36
PE-Araripina,2020-07-31,nowcast,1,0.8,1.2,1,1.2,0.4
PE-Araripina,2020-08-01,nowcast,1,0.8,1.3,0.9,1.1,0.47
PE-Araripina,2020-08-02,nowcast,1,0.7,1.3,0.9,1.1,0.49
PE-Araripina,2020-08-03,nowcast,1,0.7,1.3,0.8,1,0.59
PE-Araripina,2020-08-04,nowcast,1,0.7,1.3,0.8,1,0.61
PE-Araripina,2020-08-05,nowcast,0.9,0.7,1.2,0.8,1,0.66
PE-Araripina,2020-08-06,nowcast,0.9,0.6,1.2,0.8,1,0.69
PE-Araripina,2020-08-07,nowcast,0.9,0.6,1.2,0.8,1,0.74
PE-Araripina,2020-08-08,nowcast,0.9,0.5,1.1,0.8,1,0.78
PE-Araripina,2020-08-09,nowcast,0.9,0.5,1.2,0.7,1,0.76
PE-Araripina,2020-08-10,forecast,0.9,0.5,1.2,0.8,1.1,0.7
PE-Araripina,2020-08-11,forecast,0.9,0.5,1.3,0.8,1,0.72
PE-Araripina,2020-08-12,forecast,0.9,0.5,1.3,0.8,1.1,0.67
PE-Araripina,2020-08-13,forecast,0.9,0.4,1.3,0.7,1.1,0.67
PE-Araripina,2020-08-14,forecast,0.9,0.4,1.3,0.8,1.1,0.67
PE-Araripina,2020-08-15,forecast,0.9,0.4,1.3,0.7,1,0.69
PE-Araripina,2020-08-16,forecast,0.9,0.4,1.4,0.7,1.1,0.68
PE-Araripina,2020-08-17,forecast,0.9,0.3,1.4,0.7,1.1,0.67
PE-Araripina,2020-08-18,forecast,0.9,0.2,1.3,0.7,1.1,0.64
PE-Araripina,2020-08-19,forecast,0.9,0.4,1.4,0.7,1.1,0.63
PE-Araripina,2020-08-20,forecast,0.9,0.3,1.5,0.7,1.1,0.63
PE-Araripina,2020-08-21,forecast,0.9,0.2,1.4,0.6,1.1,0.66
PE-Araripina,2020-08-22,forecast,0.9,0.2,1.5,0.7,1.2,0.63
PE-Araripina,2020-08-23,forecast,0.9,0,1.3,0.7,1.2,0.62
PE-Caruaru,2020-04-26,nowcast,1.2,0.9,1.5,1.1,1.3,0.13
PE-Caruaru,2020-04-27,nowcast,1.1,0.8,1.4,1,1.2,0.17
PE-Caruaru,2020-04-28,nowcast,1.2,0.8,1.5,1.1,1.3,0.17
PE-Caruaru,2020-04-29,nowcast,1.2,0.9,1.5,1,1.2,0.16
PE-Caruaru,2020-04-30,nowcast,1.2,0.9,1.5,1,1.2,0.16
PE-Caruaru,2020-05-01,nowcast,1.2,0.9,1.5,1,1.3,0.14
PE-Caruaru,2020-05-02,nowcast,1.2,0.9,1.4,1,1.2,0.13
PE-Caruaru,2020-05-03,nowcast,1.2,0.9,1.4,1.1,1.2,0.14
PE-Caruaru,2020-05-04,nowcast,1.2,0.8,1.4,1.1,1.3,0.17
PE-Caruaru,2020-05-05,nowcast,1.2,0.9,1.4,1.1,1.2,0.15
PE-Caruaru,2020-05-06,nowcast,1.2,0.9,1.5,1.1,1.3,0.12
PE-Caruaru,2020-05-07,nowcast,1.1,0.9,1.4,1.1,1.2,0.14
PE-Caruaru,2020-05-08,nowcast,1.2,0.9,1.4,1.1,1.3,0.15
PE-Caruaru,2020-05-09,nowcast,1.1,0.9,1.4,1,1.2,0.17
PE-Caruaru,2020-05-10,nowcast,1.1,0.9,1.4,1,1.2,0.2
PE-Caruaru,2020-05-11,nowcast,1.1,0.9,1.3,1,1.2,0.16
PE-Caruaru,2020-05-12,nowcast,1.1,0.9,1.4,1,1.2,0.17
PE-Caruaru,2020-05-13,nowcast,1.1,0.9,1.3,1.1,1.2,0.16
PE-Caruaru,2020-05-14,nowcast,1.1,0.9,1.3,1,1.2,0.18
PE-Caruaru,2020-05-15,nowcast,1.1,1,1.4,1.1,1.2,0.16
PE-Caruaru,2020-05-16,nowcast,1.1,0.9,1.3,1,1.2,0.15
PE-Caruaru,2020-05-17,nowcast,1.1,0.9,1.4,1,1.1,0.2
PE-Caruaru,2020-05-18,nowcast,1.1,0.8,1.3,1,1.2,0.22
PE-Caruaru,2020-05-19,nowcast,1.1,0.9,1.3,1,1.2,0.17
PE-Caruaru,2020-05-20,nowcast,1.1,0.9,1.3,1,1.2,0.2
PE-Caruaru,2020-05-21,nowcast,1.1,0.9,1.4,1,1.2,0.16
PE-Caruaru,2020-05-22,nowcast,1.1,0.9,1.3,1,1.2,0.18
PE-Caruaru,2020-05-23,nowcast,1.1,0.9,1.3,1,1.2,0.13
PE-Caruaru,2020-05-24,nowcast,1.1,0.9,1.3,1,1.2,0.15
PE-Caruaru,2020-05-25,nowcast,1.1,0.9,1.3,1,1.2,0.13
PE-Caruaru,2020-05-26,nowcast,1.1,0.9,1.3,1,1.2,0.16
PE-Caruaru,2020-05-27,nowcast,1.1,0.9,1.3,1.1,1.2,0.15
PE-Caruaru,2020-05-28,nowcast,1.1,0.9,1.3,1,1.2,0.17
PE-Caruaru,2020-05-29,nowcast,1.1,1,1.3,1,1.2,0.15
PE-Caruaru,2020-05-30,nowcast,1.1,0.9,1.3,1,1.2,0.17
PE-Caruaru,2020-05-31,nowcast,1.1,0.9,1.3,1,1.1,0.2
PE-Caruaru,2020-06-01,nowcast,1.1,0.9,1.3,1,1.1,0.17
PE-Caruaru,2020-06-02,nowcast,1.1,0.9,1.3,1,1.2,0.16
PE-Caruaru,2020-06-03,nowcast,1.1,0.9,1.3,1,1.2,0.18
PE-Caruaru,2020-06-04,nowcast,1.1,0.9,1.2,1,1.1,0.17
PE-Caruaru,2020-06-05,nowcast,1.1,0.9,1.2,1,1.1,0.23
PE-Caruaru,2020-06-06,nowcast,1.1,0.9,1.3,1,1.2,0.18
PE-Caruaru,2020-06-07,nowcast,1.1,0.9,1.3,1,1.1,0.26
PE-Caruaru,2020-06-08,nowcast,1.1,0.9,1.2,1,1.1,0.25
PE-Caruaru,2020-06-09,nowcast,1.1,0.9,1.2,1,1.1,0.2
PE-Caruaru,2020-06-10,nowcast,1.1,0.9,1.2,1,1.1,0.22
PE-Caruaru,2020-06-11,nowcast,1.1,0.9,1.2,1,1.1,0.19
PE-Caruaru,2020-06-12,nowcast,1.1,0.9,1.2,1,1.1,0.22
PE-Caruaru,2020-06-13,nowcast,1.1,0.9,1.2,1,1.1,0.26
PE-Caruaru,2020-06-14,nowcast,1.1,0.9,1.2,1,1.1,0.25
PE-Caruaru,2020-06-15,nowcast,1,0.9,1.2,1,1.1,0.36
PE-Caruaru,2020-06-16,nowcast,1,0.9,1.2,1,1.1,0.33
PE-Caruaru,2020-06-17,nowcast,1,0.9,1.2,1,1.1,0.33
PE-Caruaru,2020-06-18,nowcast,1,0.9,1.2,1,1.1,0.33
PE-Caruaru,2020-06-19,nowcast,1,0.9,1.2,1,1.1,0.39
PE-Caruaru,2020-06-20,nowcast,1,0.9,1.2,1,1.1,0.4
PE-Caruaru,2020-06-21,nowcast,1,0.9,1.1,1,1.1,0.39
PE-Caruaru,2020-06-22,nowcast,1,0.8,1.2,1,1.1,0.39
PE-Caruaru,2020-06-23,nowcast,1,0.9,1.2,1,1.1,0.4
PE-Caruaru,2020-06-24,nowcast,1,0.9,1.2,0.9,1.1,0.41
PE-Caruaru,2020-06-25,nowcast,1,0.9,1.2,1,1.1,0.35
PE-Caruaru,2020-06-26,nowcast,1,0.9,1.2,1,1.1,0.31
PE-Caruaru,2020-06-27,nowcast,1,0.9,1.2,1,1.1,0.39
PE-Caruaru,2020-06-28,nowcast,1,0.9,1.2,1,1.1,0.33
PE-Caruaru,2020-06-29,nowcast,1,0.8,1.2,1,1.1,0.44
PE-Caruaru,2020-06-30,nowcast,1,0.8,1.2,1,1.1,0.45
PE-Caruaru,2020-07-01,nowcast,1,0.9,1.2,0.9,1,0.44
PE-Caruaru,2020-07-02,nowcast,1,0.9,1.1,0.9,1,0.49
PE-Caruaru,2020-07-03,nowcast,1,0.9,1.2,0.9,1.1,0.38
PE-Caruaru,2020-07-04,nowcast,1,0.9,1.2,0.9,1.1,0.44
PE-Caruaru,2020-07-05,nowcast,1,0.9,1.2,0.9,1.1,0.43
PE-Caruaru,2020-07-06,nowcast,1,0.9,1.2,1,1.1,0.44
PE-Caruaru,2020-07-07,nowcast,1,0.9,1.2,1,1.1,0.43
PE-Caruaru,2020-07-08,nowcast,1,0.9,1.2,1,1.1,0.43
PE-Caruaru,2020-07-09,nowcast,1,0.9,1.2,0.9,1.1,0.4
PE-Caruaru,2020-07-10,nowcast,1,0.9,1.2,1,1.1,0.28
PE-Caruaru,2020-07-11,nowcast,1,0.9,1.2,1,1.1,0.32
PE-Caruaru,2020-07-12,nowcast,1,0.9,1.2,1,1.1,0.31
PE-Caruaru,2020-07-13,nowcast,1,0.9,1.2,1,1.1,0.26
PE-Caruaru,2020-07-14,nowcast,1,0.9,1.2,1,1.1,0.27
PE-Caruaru,2020-07-15,nowcast,1,0.9,1.2,1,1.1,0.32
PE-Caruaru,2020-07-16,nowcast,1,0.9,1.2,1,1.1,0.29
PE-Caruaru,2020-07-17,nowcast,1,0.9,1.2,1,1.1,0.35
PE-Caruaru,2020-07-18,nowcast,1,0.9,1.2,1,1.1,0.35
PE-Caruaru,2020-07-19,nowcast,1,0.9,1.2,1,1.1,0.34
PE-Caruaru,2020-07-20,nowcast,1,0.9,1.2,1,1.1,0.3
PE-Caruaru,2020-07-21,nowcast,1,0.9,1.2,1,1.1,0.35
PE-Caruaru,2020-07-22,nowcast,1,0.9,1.2,1,1.1,0.37
PE-Caruaru,2020-07-23,nowcast,1,0.9,1.2,0.9,1.1,0.42
PE-Caruaru,2020-07-24,nowcast,1,0.9,1.1,1,1.1,0.45
PE-Caruaru,2020-07-25,nowcast,1,0.9,1.1,1,1.1,0.48
PE-Caruaru,2020-07-26,nowcast,1,0.9,1.1,0.9,1.1,0.46
PE-Caruaru,2020-07-27,nowcast,1,0.9,1.1,0.9,1,0.53
PE-Caruaru,2020-07-28,nowcast,1,0.9,1.1,0.9,1.1,0.5
PE-Caruaru,2020-07-29,nowcast,1,0.9,1.1,0.9,1,0.55
PE-Caruaru,2020-07-30,nowcast,1,0.8,1.1,0.9,1,0.54
PE-Caruaru,2020-07-31,nowcast,1,0.9,1.1,0.9,1,0.55
PE-Caruaru,2020-08-01,nowcast,1,0.8,1.1,0.9,1.1,0.49
PE-Caruaru,2020-08-02,nowcast,1,0.9,1.2,0.9,1,0.55
PE-Caruaru,2020-08-03,nowcast,1,0.8,1.2,0.9,1.1,0.44
PE-Caruaru,2020-08-04,nowcast,1,0.8,1.2,0.9,1.1,0.5
PE-Caruaru,2020-08-05,nowcast,1,0.8,1.2,0.9,1.1,0.54
PE-Caruaru,2020-08-06,nowcast,1,0.7,1.2,0.9,1.1,0.61
PE-Caruaru,2020-08-07,nowcast,1,0.7,1.1,0.9,1,0.68
PE-Caruaru,2020-08-08,nowcast,0.9,0.7,1.2,0.8,1,0.76
PE-Caruaru,2020-08-09,nowcast,0.8,0.6,1.1,0.8,1,0.86
PE-Caruaru,2020-08-10,forecast,0.9,0.6,1.1,0.8,1,0.79
PE-Caruaru,2020-08-11,forecast,0.9,0.6,1.2,0.8,1,0.77
PE-Caruaru,2020-08-12,forecast,0.9,0.5,1.1,0.8,1,0.8
PE-Caruaru,2020-08-13,forecast,0.9,0.5,1.2,0.8,1.1,0.73
PE-Caruaru,2020-08-14,forecast,0.9,0.5,1.2,0.8,1.1,0.76
PE-Caruaru,2020-08-15,forecast,0.9,0.5,1.2,0.7,1,0.75
PE-Caruaru,2020-08-16,forecast,0.9,0.5,1.2,0.8,1.1,0.72
PE-Caruaru,2020-08-17,forecast,0.9,0.5,1.3,0.8,1,0.74
PE-Caruaru,2020-08-18,forecast,0.9,0.5,1.3,0.8,1.1,0.69
PE-Caruaru,2020-08-19,forecast,0.9,0.5,1.2,0.8,1.1,0.72
PE-Caruaru,2020-08-20,forecast,0.9,0.5,1.3,0.8,1.1,0.7
PE-Caruaru,2020-08-21,forecast,0.9,0.4,1.3,0.8,1.1,0.69
PE-Caruaru,2020-08-22,forecast,0.9,0.4,1.3,0.8,1.1,0.68
PE-Caruaru,2020-08-23,forecast,0.9,0.4,1.3,0.8,1.1,0.68
PE-Garanhuns,2020-05-07,nowcast,1,0.6,1.6,0.9,1.2,0.43
PE-Garanhuns,2020-05-08,nowcast,1.1,0.6,1.6,0.9,1.3,0.38
PE-Garanhuns,2020-05-09,nowcast,1.1,0.6,1.5,0.9,1.2,0.41
PE-Garanhuns,2020-05-10,nowcast,1,0.7,1.6,0.9,1.2,0.45
PE-Garanhuns,2020-05-11,nowcast,1,0.6,1.5,0.9,1.2,0.41
PE-Garanhuns,2020-05-12,nowcast,1,0.6,1.4,0.9,1.2,0.42
PE-Garanhuns,2020-05-13,nowcast,1,0.6,1.4,0.8,1.2,0.42
PE-Garanhuns,2020-05-14,nowcast,1,0.7,1.5,0.9,1.2,0.43
PE-Garanhuns,2020-05-15,nowcast,1,0.6,1.4,0.8,1.1,0.43
PE-Garanhuns,2020-05-16,nowcast,1,0.6,1.5,0.8,1.2,0.42
PE-Garanhuns,2020-05-17,nowcast,1,0.6,1.4,0.9,1.2,0.44
PE-Garanhuns,2020-05-18,nowcast,1,0.6,1.5,0.8,1.2,0.44
PE-Garanhuns,2020-05-19,nowcast,1,0.6,1.5,0.8,1.1,0.45
PE-Garanhuns,2020-05-20,nowcast,1,0.6,1.4,0.8,1.1,0.47
PE-Garanhuns,2020-05-21,nowcast,1,0.6,1.4,0.9,1.2,0.43
PE-Garanhuns,2020-05-22,nowcast,1,0.5,1.5,0.8,1.1,0.48
PE-Garanhuns,2020-05-23,nowcast,1.1,0.7,1.5,0.9,1.2,0.42
PE-Garanhuns,2020-05-24,nowcast,1,0.6,1.4,0.8,1.1,0.45
PE-Garanhuns,2020-05-25,nowcast,1,0.6,1.5,0.9,1.2,0.42
PE-Garanhuns,2020-05-26,nowcast,1,0.6,1.4,0.9,1.2,0.49
PE-Garanhuns,2020-05-27,nowcast,1,0.6,1.4,0.8,1.1,0.45
PE-Garanhuns,2020-05-28,nowcast,1,0.6,1.4,0.8,1.1,0.49
PE-Garanhuns,2020-05-29,nowcast,1,0.6,1.5,0.8,1.1,0.45
PE-Garanhuns,2020-05-30,nowcast,1,0.6,1.4,0.8,1.1,0.53
PE-Garanhuns,2020-05-31,nowcast,1,0.6,1.4,0.8,1.1,0.46
PE-Garanhuns,2020-06-01,nowcast,1,0.6,1.4,0.9,1.2,0.42
PE-Garanhuns,2020-06-02,nowcast,1,0.6,1.5,0.9,1.2,0.41
PE-Garanhuns,2020-06-03,nowcast,1,0.6,1.4,0.9,1.1,0.46
PE-Garanhuns,2020-06-04,nowcast,1,0.5,1.5,0.9,1.2,0.44
PE-Garanhuns,2020-06-05,nowcast,1,0.7,1.5,0.9,1.1,0.42
PE-Garanhuns,2020-06-06,nowcast,1,0.7,1.5,0.9,1.2,0.42
PE-Garanhuns,2020-06-07,nowcast,1,0.7,1.4,0.9,1.1,0.43
PE-Garanhuns,2020-06-08,nowcast,1.1,0.8,1.5,1,1.2,0.36
PE-Garanhuns,2020-06-09,nowcast,1.1,0.7,1.5,0.9,1.3,0.34
PE-Garanhuns,2020-06-10,nowcast,1.1,0.7,1.5,0.9,1.2,0.35
PE-Garanhuns,2020-06-11,nowcast,1.1,0.7,1.5,0.9,1.2,0.32
PE-Garanhuns,2020-06-12,nowcast,1.1,0.7,1.5,0.9,1.2,0.33
PE-Garanhuns,2020-06-13,nowcast,1.1,0.7,1.5,0.9,1.3,0.36
PE-Garanhuns,2020-06-14,nowcast,1,0.6,1.4,0.9,1.1,0.42
PE-Garanhuns,2020-06-15,nowcast,1.1,0.7,1.5,0.9,1.2,0.39
PE-Garanhuns,2020-06-16,nowcast,1,0.7,1.4,0.9,1.2,0.47
PE-Garanhuns,2020-06-17,nowcast,1.1,0.6,1.5,0.9,1.2,0.39
PE-Garanhuns,2020-06-18,nowcast,1,0.6,1.4,0.9,1.2,0.45
PE-Garanhuns,2020-06-19,nowcast,1,0.7,1.5,0.9,1.2,0.42
PE-Garanhuns,2020-06-20,nowcast,1,0.7,1.5,0.9,1.2,0.41
PE-Garanhuns,2020-06-21,nowcast,1,0.6,1.4,0.9,1.1,0.41
PE-Garanhuns,2020-06-22,nowcast,1,0.6,1.4,0.9,1.1,0.44
PE-Garanhuns,2020-06-23,nowcast,1.1,0.7,1.5,0.9,1.2,0.42
PE-Garanhuns,2020-06-24,nowcast,1,0.7,1.4,0.9,1.2,0.44
PE-Garanhuns,2020-06-25,nowcast,1,0.7,1.5,0.9,1.2,0.43
PE-Garanhuns,2020-06-26,nowcast,1,0.7,1.4,0.9,1.2,0.45
PE-Garanhuns,2020-06-27,nowcast,1,0.7,1.4,0.9,1.1,0.46
PE-Garanhuns,2020-06-28,nowcast,1.1,0.7,1.5,0.9,1.2,0.39
PE-Garanhuns,2020-06-29,nowcast,1.1,0.8,1.5,0.9,1.2,0.39
PE-Garanhuns,2020-06-30,nowcast,1.1,0.7,1.5,0.9,1.2,0.34
PE-Garanhuns,2020-07-01,nowcast,1.1,0.7,1.4,0.9,1.2,0.3
PE-Garanhuns,2020-07-02,nowcast,1.1,0.7,1.5,0.9,1.1,0.38
PE-Garanhuns,2020-07-03,nowcast,1.1,0.7,1.5,0.9,1.2,0.34
PE-Garanhuns,2020-07-04,nowcast,1.1,0.8,1.5,1,1.3,0.31
PE-Garanhuns,2020-07-05,nowcast,1.1,0.8,1.5,1,1.2,0.3
PE-Garanhuns,2020-07-06,nowcast,1.1,0.7,1.4,0.9,1.2,0.34
PE-Garanhuns,2020-07-07,nowcast,1.1,0.8,1.5,0.9,1.2,0.3
PE-Garanhuns,2020-07-08,nowcast,1.1,0.7,1.4,1,1.2,0.32
PE-Garanhuns,2020-07-09,nowcast,1.1,0.7,1.4,0.9,1.2,0.41
PE-Garanhuns,2020-07-10,nowcast,1,0.7,1.4,0.9,1.2,0.39
PE-Garanhuns,2020-07-11,nowcast,1.1,0.8,1.4,0.9,1.1,0.38
PE-Garanhuns,2020-07-12,nowcast,1.1,0.7,1.4,0.9,1.2,0.34
PE-Garanhuns,2020-07-13,nowcast,1.1,0.7,1.4,0.9,1.1,0.36
PE-Garanhuns,2020-07-14,nowcast,1,0.7,1.4,0.9,1.2,0.38
PE-Garanhuns,2020-07-15,nowcast,1.1,0.7,1.4,0.9,1.2,0.37
PE-Garanhuns,2020-07-16,nowcast,1.1,0.8,1.5,0.9,1.2,0.31
PE-Garanhuns,2020-07-17,nowcast,1.1,0.7,1.4,0.9,1.2,0.36
PE-Garanhuns,2020-07-18,nowcast,1,0.7,1.3,0.9,1.1,0.44
PE-Garanhuns,2020-07-19,nowcast,1,0.7,1.4,0.9,1.2,0.44
PE-Garanhuns,2020-07-20,nowcast,1,0.7,1.3,0.9,1.1,0.47
PE-Garanhuns,2020-07-21,nowcast,1,0.7,1.3,0.9,1.1,0.47
PE-Garanhuns,2020-07-22,nowcast,1,0.8,1.3,0.9,1.1,0.43
PE-Garanhuns,2020-07-23,nowcast,1,0.7,1.3,0.9,1.1,0.39
PE-Garanhuns,2020-07-24,nowcast,1,0.7,1.3,0.9,1.1,0.46
PE-Garanhuns,2020-07-25,nowcast,1,0.7,1.4,0.9,1.1,0.42
PE-Garanhuns,2020-07-26,nowcast,1,0.7,1.5,0.9,1.1,0.42
PE-Garanhuns,2020-07-27,nowcast,1.1,0.8,1.4,0.9,1.1,0.38
PE-Garanhuns,2020-07-28,nowcast,1.1,0.8,1.5,0.9,1.2,0.37
PE-Garanhuns,2020-07-29,nowcast,1,0.7,1.4,0.9,1.2,0.4
PE-Garanhuns,2020-07-30,nowcast,1,0.7,1.4,0.9,1.1,0.43
PE-Garanhuns,2020-07-31,nowcast,1,0.8,1.4,0.9,1.2,0.38
PE-Garanhuns,2020-08-01,nowcast,1.1,0.8,1.4,0.9,1.2,0.4
PE-Garanhuns,2020-08-02,nowcast,1.1,0.7,1.5,0.9,1.2,0.39
PE-Garanhuns,2020-08-03,nowcast,1,0.6,1.4,0.9,1.1,0.44
PE-Garanhuns,2020-08-04,nowcast,1,0.7,1.4,0.9,1.1,0.39
PE-Garanhuns,2020-08-05,nowcast,1.1,0.6,1.4,0.9,1.2,0.41
PE-Garanhuns,2020-08-06,nowcast,1,0.7,1.4,0.9,1.1,0.49
PE-Garanhuns,2020-08-07,nowcast,1,0.6,1.4,0.8,1.1,0.53
PE-Garanhuns,2020-08-08,nowcast,1,0.5,1.3,0.8,1.1,0.59
PE-Garanhuns,2020-08-09,nowcast,0.9,0.5,1.2,0.7,1,0.66
