region,date,type,median,lower_90,upper_90,lower_50,upper_50,prob_control
AL-Igreja Nova,2020-07-12,nowcast,0.8,0.3,1.2,0.6,0.9,0.82
AL-Igreja Nova,2020-07-13,nowcast,0.8,0.3,1.2,0.6,0.9,0.85
AL-Igreja Nova,2020-07-14,nowcast,0.8,0.4,1.3,0.6,0.9,0.8
AL-Igreja Nova,2020-07-15,nowcast,0.8,0.4,1.4,0.6,1,0.73
AL-Igreja Nova,2020-07-16,nowcast,0.9,0.4,1.6,0.6,1,0.59
AL-Igreja Nova,2020-07-17,nowcast,1,0.5,1.7,0.7,1.1,0.47
AL-Igreja Nova,2020-07-18,nowcast,1.1,0.6,1.8,0.8,1.3,0.34
AL-Igreja Nova,2020-07-19,nowcast,1.2,0.7,1.9,0.8,1.3,0.27
AL-Igreja Nova,2020-07-20,nowcast,1.3,0.7,1.9,1,1.4,0.2
AL-Igreja Nova,2020-07-21,nowcast,1.3,0.7,1.9,1,1.4,0.18
AL-Igreja Nova,2020-07-22,nowcast,1.2,0.8,1.8,1,1.4,0.18
AL-Igreja Nova,2020-07-23,nowcast,1.2,0.7,1.7,1,1.4,0.26
AL-Igreja Nova,2020-07-24,nowcast,1.1,0.6,1.5,0.9,1.3,0.37
AL-Igreja Nova,2020-07-25,nowcast,1,0.5,1.4,0.8,1.2,0.54
AL-Igreja Nova,2020-07-26,nowcast,0.9,0.4,1.3,0.7,1.1,0.69
AL-Igreja Nova,2020-07-27,nowcast,0.8,0.3,1.2,0.6,1,0.8
AL-Igreja Nova,2020-07-28,nowcast,0.8,0.4,1.2,0.6,0.9,0.83
AL-Igreja Nova,2020-07-29,nowcast,0.8,0.3,1.2,0.6,0.9,0.81
AL-Igreja Nova,2020-07-30,nowcast,0.8,0.3,1.3,0.6,0.9,0.74
AL-Igreja Nova,2020-07-31,nowcast,0.9,0.4,1.5,0.6,1,0.64
AL-Igreja Nova,2020-08-01,nowcast,1,0.4,1.7,0.7,1.1,0.52
AL-Igreja Nova,2020-08-02,nowcast,1.1,0.5,1.8,0.8,1.3,0.4
AL-Igreja Nova,2020-08-03,nowcast,1.2,0.6,2,0.9,1.4,0.26
AL-Igreja Nova,2020-08-04,nowcast,1.3,0.7,2,1,1.5,0.15
AL-Igreja Nova,2020-08-05,nowcast,1.4,0.8,2.1,1.1,1.6,0.09
AL-Igreja Nova,2020-08-06,nowcast,1.4,0.9,2.1,1.1,1.6,0.07
AL-Igreja Nova,2020-08-07,nowcast,1.5,0.9,2.2,1.2,1.6,0.06
AL-Igreja Nova,2020-08-08,nowcast,1.5,0.9,2.1,1.2,1.6,0.07
AL-Igreja Nova,2020-08-09,forecast,1.5,0.7,2.3,1.1,1.7,0.15
AL-Igreja Nova,2020-08-10,forecast,1.4,0.6,2.3,1.1,1.7,0.18
AL-Igreja Nova,2020-08-11,forecast,1.4,0.5,2.4,0.9,1.7,0.21
AL-Igreja Nova,2020-08-12,forecast,1.4,0.4,2.5,0.9,1.7,0.23
AL-Igreja Nova,2020-08-13,forecast,1.4,0.3,2.6,1,1.8,0.24
AL-Igreja Nova,2020-08-14,forecast,1.4,0.3,2.7,0.9,1.8,0.26
AL-Igreja Nova,2020-08-15,forecast,1.4,0,2.4,1,1.9,0.27
AL-Igreja Nova,2020-08-16,forecast,1.4,0,2.5,1,1.9,0.27
AL-Igreja Nova,2020-08-17,forecast,1.4,0,2.5,0.9,1.9,0.28
AL-Igreja Nova,2020-08-18,forecast,1.4,0,2.6,0.9,1.9,0.29
AL-Igreja Nova,2020-08-19,forecast,1.4,0,2.6,0.8,1.9,0.29
AL-Igreja Nova,2020-08-20,forecast,1.4,0,2.6,0.8,2,0.31
AL-Igreja Nova,2020-08-21,forecast,1.4,0,2.7,0.8,2,0.3
AL-Igreja Nova,2020-08-22,forecast,1.4,0,2.7,0.7,1.9,0.31
AL-Maribondo,2020-05-21,nowcast,1.1,0.3,2.1,0.8,1.4,0.4
AL-Maribondo,2020-05-22,nowcast,1.1,0.3,2,0.7,1.3,0.42
AL-Maribondo,2020-05-23,nowcast,1.1,0.3,2,0.7,1.3,0.42
AL-Maribondo,2020-05-24,nowcast,1.1,0.3,1.9,0.7,1.3,0.44
AL-Maribondo,2020-05-25,nowcast,1,0.3,1.9,0.7,1.2,0.46
AL-Maribondo,2020-05-26,nowcast,1.1,0.3,2,0.7,1.3,0.45
AL-Maribondo,2020-05-27,nowcast,1,0.3,2,0.6,1.3,0.46
AL-Maribondo,2020-05-28,nowcast,1.1,0.3,2,0.7,1.3,0.45
AL-Maribondo,2020-05-29,nowcast,1.1,0.3,1.9,0.7,1.3,0.43
AL-Maribondo,2020-05-30,nowcast,1.1,0.3,2,0.7,1.3,0.42
AL-Maribondo,2020-05-31,nowcast,1.1,0.3,2,0.7,1.3,0.39
AL-Maribondo,2020-06-01,nowcast,1.2,0.3,2.2,0.8,1.4,0.35
AL-Maribondo,2020-06-02,nowcast,1.2,0.4,2.2,0.8,1.4,0.31
AL-Maribondo,2020-06-03,nowcast,1.3,0.5,2.3,0.8,1.5,0.26
AL-Maribondo,2020-06-04,nowcast,1.4,0.6,2.3,1,1.6,0.21
AL-Maribondo,2020-06-05,nowcast,1.4,0.6,2.4,1,1.6,0.18
AL-Maribondo,2020-06-06,nowcast,1.5,0.6,2.4,1.1,1.7,0.14
AL-Maribondo,2020-06-07,nowcast,1.5,0.7,2.4,1.1,1.7,0.13
AL-Maribondo,2020-06-08,nowcast,1.5,0.7,2.3,1.1,1.7,0.11
AL-Maribondo,2020-06-09,nowcast,1.5,0.8,2.4,1.1,1.7,0.1
AL-Maribondo,2020-06-10,nowcast,1.5,0.8,2.3,1.2,1.7,0.1
AL-Maribondo,2020-06-11,nowcast,1.5,0.8,2.2,1.2,1.7,0.1
AL-Maribondo,2020-06-12,nowcast,1.4,0.8,2.1,1.2,1.7,0.12
AL-Maribondo,2020-06-13,nowcast,1.3,0.8,2,1.1,1.5,0.15
AL-Maribondo,2020-06-14,nowcast,1.2,0.7,1.8,1,1.4,0.24
AL-Maribondo,2020-06-15,nowcast,1.1,0.6,1.6,0.9,1.3,0.36
AL-Maribondo,2020-06-16,nowcast,1,0.5,1.5,0.8,1.2,0.51
AL-Maribondo,2020-06-17,nowcast,0.9,0.4,1.4,0.7,1.1,0.67
AL-Maribondo,2020-06-18,nowcast,0.8,0.3,1.2,0.6,0.9,0.78
AL-Maribondo,2020-06-19,nowcast,0.7,0.3,1.2,0.6,0.9,0.83
AL-Maribondo,2020-06-20,nowcast,0.8,0.3,1.1,0.6,0.9,0.83
AL-Maribondo,2020-06-21,nowcast,0.8,0.3,1.2,0.6,0.9,0.8
AL-Maribondo,2020-06-22,nowcast,0.8,0.3,1.3,0.6,0.9,0.74
AL-Maribondo,2020-06-23,nowcast,0.8,0.4,1.4,0.6,1,0.7
AL-Maribondo,2020-06-24,nowcast,0.9,0.4,1.4,0.6,1,0.67
AL-Maribondo,2020-06-25,nowcast,0.9,0.4,1.4,0.7,1,0.66
AL-Maribondo,2020-06-26,nowcast,0.9,0.4,1.5,0.6,1,0.64
AL-Maribondo,2020-06-27,nowcast,0.9,0.3,1.4,0.7,1.1,0.65
AL-Maribondo,2020-06-28,nowcast,0.9,0.3,1.4,0.7,1,0.66
AL-Maribondo,2020-06-29,nowcast,0.9,0.3,1.4,0.7,1.1,0.64
AL-Maribondo,2020-06-30,nowcast,0.9,0.4,1.5,0.7,1.1,0.6
AL-Maribondo,2020-07-01,nowcast,1,0.5,1.7,0.7,1.2,0.52
AL-Maribondo,2020-07-02,nowcast,1,0.4,1.7,0.7,1.2,0.48
AL-Maribondo,2020-07-03,nowcast,1.1,0.5,1.9,0.8,1.3,0.4
AL-Maribondo,2020-07-04,nowcast,1.1,0.5,1.9,0.8,1.3,0.35
AL-Maribondo,2020-07-05,nowcast,1.2,0.6,1.9,0.9,1.4,0.26
AL-Maribondo,2020-07-06,nowcast,1.2,0.6,1.9,0.9,1.4,0.24
AL-Maribondo,2020-07-07,nowcast,1.2,0.6,1.9,1,1.4,0.22
AL-Maribondo,2020-07-08,nowcast,1.2,0.6,1.9,0.9,1.4,0.25
AL-Maribondo,2020-07-09,nowcast,1.2,0.6,1.8,0.9,1.4,0.27
AL-Maribondo,2020-07-10,nowcast,1.1,0.6,1.7,0.9,1.3,0.34
AL-Maribondo,2020-07-11,nowcast,1,0.5,1.6,0.9,1.3,0.44
AL-Maribondo,2020-07-12,nowcast,1,0.5,1.5,0.8,1.2,0.52
AL-Maribondo,2020-07-13,nowcast,1,0.5,1.5,0.8,1.1,0.57
AL-Maribondo,2020-07-14,nowcast,0.9,0.5,1.4,0.8,1.1,0.59
AL-Maribondo,2020-07-15,nowcast,1,0.5,1.5,0.8,1.1,0.56
AL-Maribondo,2020-07-16,nowcast,1,0.5,1.6,0.8,1.2,0.49
AL-Maribondo,2020-07-17,nowcast,1.1,0.5,1.7,0.8,1.2,0.42
AL-Maribondo,2020-07-18,nowcast,1.1,0.5,1.7,0.8,1.2,0.38
AL-Maribondo,2020-07-19,nowcast,1.1,0.6,1.7,0.9,1.3,0.38
AL-Maribondo,2020-07-20,nowcast,1,0.5,1.6,0.8,1.2,0.44
AL-Maribondo,2020-07-21,nowcast,1,0.4,1.5,0.7,1.2,0.56
AL-Maribondo,2020-07-22,nowcast,0.8,0.3,1.3,0.7,1.1,0.69
AL-Maribondo,2020-07-23,nowcast,0.7,0.2,1.1,0.5,0.9,0.85
AL-Maribondo,2020-07-24,nowcast,0.6,0.1,1,0.4,0.8,0.92
AL-Maribondo,2020-07-25,nowcast,0.6,0.1,1,0.3,0.7,0.93
AL-Maribondo,2020-07-26,nowcast,0.5,0.1,1,0.3,0.7,0.94
AL-Maribondo,2020-07-27,nowcast,0.6,0.1,1.1,0.3,0.7,0.9
AL-Maribondo,2020-07-28,nowcast,0.6,0.1,1.2,0.4,0.8,0.84
AL-Maribondo,2020-07-29,nowcast,0.7,0.1,1.5,0.3,0.8,0.75
AL-Maribondo,2020-07-30,nowcast,0.8,0.1,1.7,0.4,0.9,0.67
AL-Maribondo,2020-07-31,nowcast,0.9,0.2,1.9,0.4,1,0.58
AL-Maribondo,2020-08-01,nowcast,1,0.2,1.9,0.6,1.2,0.52
AL-Maribondo,2020-08-02,nowcast,1.1,0.3,2.1,0.6,1.3,0.43
AL-Maribondo,2020-08-03,nowcast,1.2,0.4,2.3,0.7,1.4,0.36
AL-Maribondo,2020-08-04,nowcast,1.2,0.4,2.3,0.8,1.5,0.31
AL-Maribondo,2020-08-05,nowcast,1.3,0.4,2.2,0.8,1.4,0.29
AL-Maribondo,2020-08-06,nowcast,1.2,0.4,2.2,0.9,1.5,0.3
AL-Maribondo,2020-08-07,nowcast,1.2,0.3,2.1,0.8,1.5,0.32
AL-Maribondo,2020-08-08,nowcast,1.2,0.4,2.2,0.8,1.5,0.33
AL-Maribondo,2020-08-09,forecast,1.3,0,2.2,0.8,1.7,0.34
AL-Maribondo,2020-08-10,forecast,1.2,0,2.3,0.7,1.6,0.38
AL-Maribondo,2020-08-11,forecast,1.2,0,2.4,0.6,1.6,0.37
AL-Maribondo,2020-08-12,forecast,1.2,0,2.5,0.7,1.8,0.38
AL-Maribondo,2020-08-13,forecast,1.2,0,2.5,0.5,1.7,0.39
AL-Maribondo,2020-08-14,forecast,1.2,0,2.6,0.6,1.9,0.39
AL-Maribondo,2020-08-15,forecast,1.2,0,2.7,0,1.2,0.4
AL-Maribondo,2020-08-16,forecast,1.2,0,2.8,0,1.2,0.4
AL-Maribondo,2020-08-17,forecast,1.3,0,2.8,0,1.3,0.4
AL-Maribondo,2020-08-18,forecast,1.3,0,2.9,0,1.3,0.39
AL-Maribondo,2020-08-19,forecast,1.2,0,2.8,0,1.2,0.41
AL-Maribondo,2020-08-20,forecast,1.3,0,3,0,1.3,0.4
AL-Maribondo,2020-08-21,forecast,1.2,0,3.1,0,1.2,0.42
AL-Maribondo,2020-08-22,forecast,1.2,0,3,0,1.2,0.43
AL-Pariconha,2020-07-04,nowcast,1.3,0.6,2.1,0.9,1.5,0.27
AL-Pariconha,2020-07-05,nowcast,1.2,0.5,2,0.9,1.4,0.3
AL-Pariconha,2020-07-06,nowcast,1.2,0.6,1.9,0.9,1.4,0.32
AL-Pariconha,2020-07-07,nowcast,1.1,0.5,1.8,0.8,1.4,0.36
AL-Pariconha,2020-07-08,nowcast,1.1,0.5,1.7,0.8,1.3,0.4
AL-Pariconha,2020-07-09,nowcast,1.1,0.5,1.7,0.8,1.3,0.41
AL-Pariconha,2020-07-10,nowcast,1.1,0.4,1.7,0.8,1.2,0.43
AL-Pariconha,2020-07-11,nowcast,1,0.5,1.7,0.8,1.3,0.44
AL-Pariconha,2020-07-12,nowcast,1,0.4,1.7,0.7,1.2,0.47
AL-Pariconha,2020-07-13,nowcast,1,0.4,1.6,0.7,1.2,0.5
AL-Pariconha,2020-07-14,nowcast,1,0.4,1.6,0.7,1.2,0.51
AL-Pariconha,2020-07-15,nowcast,1,0.4,1.6,0.7,1.2,0.5
AL-Pariconha,2020-07-16,nowcast,1,0.5,1.6,0.8,1.2,0.49
AL-Pariconha,2020-07-17,nowcast,1,0.4,1.6,0.7,1.2,0.51
AL-Pariconha,2020-07-18,nowcast,1,0.5,1.7,0.7,1.2,0.51
AL-Pariconha,2020-07-19,nowcast,1,0.4,1.6,0.7,1.1,0.54
AL-Pariconha,2020-07-20,nowcast,0.9,0.3,1.5,0.7,1.1,0.61
AL-Pariconha,2020-07-21,nowcast,0.9,0.3,1.4,0.6,1.1,0.66
AL-Pariconha,2020-07-22,nowcast,0.8,0.3,1.4,0.6,1,0.71
AL-Pariconha,2020-07-23,nowcast,0.8,0.2,1.3,0.5,0.9,0.77
AL-Pariconha,2020-07-24,nowcast,0.7,0.2,1.3,0.5,0.9,0.8
AL-Pariconha,2020-07-25,nowcast,0.7,0.2,1.2,0.5,0.9,0.83
AL-Pariconha,2020-07-26,nowcast,0.7,0.1,1.2,0.4,0.8,0.83
AL-Pariconha,2020-07-27,nowcast,0.7,0.1,1.3,0.4,0.8,0.79
AL-Pariconha,2020-07-28,nowcast,0.7,0.1,1.4,0.4,0.9,0.77
AL-Pariconha,2020-07-29,nowcast,0.7,0.1,1.5,0.4,0.9,0.72
AL-Pariconha,2020-07-30,nowcast,0.8,0.1,1.8,0.4,1,0.63
AL-Pariconha,2020-07-31,nowcast,1,0.1,2,0.5,1.1,0.53
AL-Pariconha,2020-08-01,nowcast,1.1,0.2,2.3,0.5,1.3,0.44
AL-Pariconha,2020-08-02,nowcast,1.2,0.4,2.5,0.7,1.4,0.34
AL-Pariconha,2020-08-03,nowcast,1.3,0.4,2.7,0.8,1.6,0.26
AL-Pariconha,2020-08-04,nowcast,1.5,0.5,2.7,0.9,1.7,0.18
AL-Pariconha,2020-08-05,nowcast,1.5,0.5,2.8,1,1.8,0.15
AL-Pariconha,2020-08-06,nowcast,1.6,0.6,2.8,1.1,1.9,0.12
AL-Pariconha,2020-08-07,nowcast,1.6,0.7,2.8,1.1,1.9,0.11
AL-Pariconha,2020-08-08,nowcast,1.6,0.7,2.8,1.2,2,0.13
AL-Pariconha,2020-08-09,forecast,1.6,0.3,3,1.1,2.1,0.18
AL-Pariconha,2020-08-10,forecast,1.7,0,2.9,1.1,2.2,0.2
AL-Pariconha,2020-08-11,forecast,1.6,0,3,1.1,2.3,0.23
AL-Pariconha,2020-08-12,forecast,1.7,0,3.2,0.9,2.2,0.24
AL-Pariconha,2020-08-13,forecast,1.7,0,3.2,0.9,2.3,0.25
AL-Pariconha,2020-08-14,forecast,1.7,0,3.3,0.8,2.3,0.26
AL-Pariconha,2020-08-15,forecast,1.7,0,3.5,0.9,2.4,0.27
AL-Pariconha,2020-08-16,forecast,1.7,0,3.6,0.8,2.4,0.28
AL-Pariconha,2020-08-17,forecast,1.7,0,3.7,0,1.7,0.3
AL-Pariconha,2020-08-18,forecast,1.7,0,3.8,0,1.7,0.3
AL-Pariconha,2020-08-19,forecast,1.7,0,3.9,0,1.7,0.3
AL-Pariconha,2020-08-20,forecast,1.7,0,3.9,0,1.7,0.32
AL-Pariconha,2020-08-21,forecast,1.7,0,4,0,1.7,0.32
AL-Pariconha,2020-08-22,forecast,1.7,0,4.1,0,1.7,0.32
AL-São Brás,2020-05-23,nowcast,1,0.1,2,0.5,1.3,0.47
AL-São Brás,2020-05-24,nowcast,1,0.1,2.1,0.6,1.3,0.48
AL-São Brás,2020-05-25,nowcast,1.1,0.2,2.2,0.5,1.3,0.46
AL-São Brás,2020-05-26,nowcast,1,0.1,2.2,0.5,1.2,0.48
AL-São Brás,2020-05-27,nowcast,1,0.1,2.1,0.5,1.3,0.49
AL-São Brás,2020-05-28,nowcast,1,0.1,2.1,0.5,1.3,0.49
AL-São Brás,2020-05-29,nowcast,1,0.1,2,0.5,1.3,0.5
AL-São Brás,2020-05-30,nowcast,1,0.1,2,0.5,1.3,0.51
AL-São Brás,2020-05-31,nowcast,1,0.1,2,0.5,1.2,0.51
AL-São Brás,2020-06-01,nowcast,1,0.1,2,0.5,1.2,0.5
AL-São Brás,2020-06-02,nowcast,1,0.1,2.1,0.5,1.2,0.49
AL-São Brás,2020-06-03,nowcast,1,0.1,2.1,0.4,1.2,0.5
AL-São Brás,2020-06-04,nowcast,1.1,0.1,2.3,0.5,1.3,0.45
AL-São Brás,2020-06-05,nowcast,1.1,0.1,2.3,0.5,1.4,0.43
AL-São Brás,2020-06-06,nowcast,1.1,0.1,2.3,0.5,1.3,0.42
AL-São Brás,2020-06-07,nowcast,1.2,0.1,2.3,0.6,1.4,0.4
AL-São Brás,2020-06-08,nowcast,1.1,0.1,2.3,0.6,1.4,0.4
AL-São Brás,2020-06-09,nowcast,1.1,0.1,2.3,0.6,1.4,0.42
AL-São Brás,2020-06-10,nowcast,1.1,0.1,2.2,0.6,1.4,0.41
AL-São Brás,2020-06-11,nowcast,1.1,0.1,2.2,0.6,1.4,0.44
AL-São Brás,2020-06-12,nowcast,1.1,0.1,2.1,0.6,1.3,0.46
AL-São Brás,2020-06-13,nowcast,1,0.1,2,0.6,1.3,0.49
AL-São Brás,2020-06-14,nowcast,0.9,0.1,1.9,0.4,1.1,0.54
AL-São Brás,2020-06-15,nowcast,0.9,0.1,1.8,0.4,1.1,0.59
AL-São Brás,2020-06-16,nowcast,0.8,0.1,1.7,0.4,1,0.61
AL-São Brás,2020-06-17,nowcast,0.8,0,1.8,0.3,1,0.61
AL-São Brás,2020-06-18,nowcast,0.9,0,2,0.4,1.1,0.57
AL-São Brás,2020-06-19,nowcast,1,0.1,2.3,0.4,1.2,0.49
AL-São Brás,2020-06-20,nowcast,1.1,0.1,2.5,0.5,1.4,0.41
AL-São Brás,2020-06-21,nowcast,1.3,0.2,2.8,0.7,1.6,0.33
AL-São Brás,2020-06-22,nowcast,1.4,0.3,2.9,0.7,1.6,0.26
AL-São Brás,2020-06-23,nowcast,1.5,0.3,3,0.9,1.8,0.23
AL-São Brás,2020-06-24,nowcast,1.5,0.4,2.9,0.9,1.8,0.19
AL-São Brás,2020-06-25,nowcast,1.5,0.4,2.8,1,1.9,0.18
AL-São Brás,2020-06-26,nowcast,1.6,0.5,2.8,1,1.9,0.16
AL-São Brás,2020-06-27,nowcast,1.5,0.5,2.5,1,1.8,0.18
AL-São Brás,2020-06-28,nowcast,1.4,0.5,2.4,1,1.6,0.22
AL-São Brás,2020-06-29,nowcast,1.3,0.5,2.2,0.9,1.6,0.25
AL-São Brás,2020-06-30,nowcast,1.2,0.5,2.1,0.8,1.4,0.32
AL-São Brás,2020-07-01,nowcast,1.1,0.4,1.9,0.8,1.4,0.37
AL-São Brás,2020-07-02,nowcast,1.1,0.4,1.8,0.7,1.3,0.44
AL-São Brás,2020-07-03,nowcast,1,0.3,1.8,0.7,1.3,0.46
AL-São Brás,2020-07-04,nowcast,1,0.4,1.7,0.8,1.3,0.46
AL-São Brás,2020-07-05,nowcast,1,0.4,1.7,0.7,1.2,0.45
AL-São Brás,2020-07-06,nowcast,1,0.3,1.7,0.7,1.2,0.49
AL-São Brás,2020-07-07,nowcast,1,0.4,1.7,0.7,1.2,0.5
AL-São Brás,2020-07-08,nowcast,1,0.4,1.7,0.6,1.1,0.54
AL-São Brás,2020-07-09,nowcast,1,0.3,1.7,0.7,1.2,0.54
AL-São Brás,2020-07-10,nowcast,1,0.3,1.6,0.7,1.2,0.54
AL-São Brás,2020-07-11,nowcast,1,0.3,1.7,0.7,1.2,0.52
AL-São Brás,2020-07-12,nowcast,1,0.3,1.7,0.7,1.2,0.53
AL-São Brás,2020-07-13,nowcast,1,0.3,1.7,0.7,1.2,0.53
AL-São Brás,2020-07-14,nowcast,1,0.3,1.7,0.7,1.2,0.5
AL-São Brás,2020-07-15,nowcast,1,0.3,1.8,0.7,1.2,0.48
AL-São Brás,2020-07-16,nowcast,1.1,0.4,1.9,0.7,1.2,0.43
AL-São Brás,2020-07-17,nowcast,1.1,0.4,1.9,0.7,1.3,0.41
AL-São Brás,2020-07-18,nowcast,1.1,0.5,2,0.8,1.3,0.38
AL-São Brás,2020-07-19,nowcast,1.1,0.4,1.9,0.8,1.3,0.39
AL-São Brás,2020-07-20,nowcast,1.1,0.4,1.9,0.8,1.3,0.4
AL-São Brás,2020-07-21,nowcast,1.1,0.4,1.7,0.8,1.3,0.41
AL-São Brás,2020-07-22,nowcast,1,0.3,1.7,0.7,1.2,0.48
AL-São Brás,2020-07-23,nowcast,1,0.3,1.6,0.7,1.2,0.51
AL-São Brás,2020-07-24,nowcast,1,0.3,1.6,0.6,1.1,0.55
AL-São Brás,2020-07-25,nowcast,0.9,0.3,1.6,0.6,1.1,0.57
AL-São Brás,2020-07-26,nowcast,0.9,0.3,1.6,0.7,1.2,0.56
AL-São Brás,2020-07-27,nowcast,0.9,0.3,1.6,0.6,1.1,0.59
AL-São Brás,2020-07-28,nowcast,0.9,0.3,1.6,0.6,1.1,0.61
AL-São Brás,2020-07-29,nowcast,0.9,0.2,1.6,0.5,1,0.63
AL-São Brás,2020-07-30,nowcast,0.9,0.2,1.6,0.6,1.1,0.62
AL-São Brás,2020-07-31,nowcast,0.9,0.2,1.7,0.6,1.1,0.61
AL-São Brás,2020-08-01,nowcast,0.9,0.2,1.8,0.6,1.2,0.57
AL-São Brás,2020-08-02,nowcast,1,0.2,2,0.6,1.2,0.49
AL-São Brás,2020-08-03,nowcast,1.1,0.3,2.2,0.7,1.3,0.4
AL-São Brás,2020-08-04,nowcast,1.2,0.4,2.4,0.7,1.4,0.31
AL-São Brás,2020-08-05,nowcast,1.3,0.4,2.5,0.9,1.6,0.25
AL-São Brás,2020-08-06,nowcast,1.4,0.6,2.6,1,1.7,0.19
AL-São Brás,2020-08-07,nowcast,1.5,0.6,2.7,1.1,1.8,0.16
AL-São Brás,2020-08-08,nowcast,1.5,0.6,2.7,1,1.8,0.14
AL-São Brás,2020-08-09,forecast,1.5,0.3,2.7,0.9,1.8,0.21
AL-São Brás,2020-08-10,forecast,1.5,0.3,2.9,0.9,1.8,0.24
AL-São Brás,2020-08-11,forecast,1.5,0,2.6,0.9,1.9,0.26
AL-São Brás,2020-08-12,forecast,1.5,0,2.7,0.9,2,0.26
AL-São Brás,2020-08-13,forecast,1.5,0,2.8,0.8,1.9,0.28
AL-São Brás,2020-08-14,forecast,1.5,0,3,0.8,2,0.28
AL-São Brás,2020-08-15,forecast,1.5,0,2.9,0.7,1.9,0.3
AL-São Brás,2020-08-16,forecast,1.5,0,3.1,0.7,2.1,0.31
AL-São Brás,2020-08-17,forecast,1.5,0,3,0.7,2,0.31
AL-São Brás,2020-08-18,forecast,1.5,0,3.1,0.7,2.2,0.32
AL-São Brás,2020-08-19,forecast,1.5,0,3.2,0.7,2.1,0.32
AL-São Brás,2020-08-20,forecast,1.5,0,3.3,0,1.5,0.32
AL-São Brás,2020-08-21,forecast,1.5,0,3.4,0,1.5,0.33
AL-São Brás,2020-08-22,forecast,1.5,0,3.4,0,1.5,0.33
BA-Aporá,2020-06-13,nowcast,0.7,0,1.5,0.3,0.9,0.75
BA-Aporá,2020-06-14,nowcast,0.6,0,1.4,0.2,0.7,0.77
BA-Aporá,2020-06-15,nowcast,0.6,0,1.5,0.2,0.7,0.75
BA-Aporá,2020-06-16,nowcast,0.7,0,1.6,0.2,0.8,0.72
BA-Aporá,2020-06-17,nowcast,0.7,0,1.7,0.2,0.8,0.72
BA-Aporá,2020-06-18,nowcast,0.7,0,1.8,0.2,0.8,0.68
BA-Aporá,2020-06-19,nowcast,0.8,0,2.1,0.2,0.9,0.64
BA-Aporá,2020-06-20,nowcast,0.8,0,2,0.2,0.9,0.64
BA-Aporá,2020-06-21,nowcast,0.8,0,2.1,0.2,0.9,0.6
BA-Aporá,2020-06-22,nowcast,0.9,0,2.2,0.2,1,0.58
BA-Aporá,2020-06-23,nowcast,0.9,0,2.3,0.2,1,0.55
BA-Aporá,2020-06-24,nowcast,0.9,0,2.5,0.2,1,0.53
BA-Aporá,2020-06-25,nowcast,1,0,2.7,0.2,1.2,0.49
